student_id,group,cohort_entry_year,subject,difficulty,requires_attendance,subject_total_semesters,semester,attendance_pct,work1,work2,work3,work4,work5,exam
STU003964,2023-01,2023,Математический анализ I,hard,0,2,1,86.9,6,7,5,6,6,7
STU003964,2023-01,2023,Введение в программирование,normal,0,1,1,75.4,7,8,4,7,3,5
STU003964,2023-01,2023,Инженерная графика,normal,0,1,1,70.5,3,3,5,7,4,5
STU003964,2023-01,2023,История России,easy,1,1,1,72.4,2,6,2,5,2,4
STU003964,2023-01,2023,Иностранный язык,normal,1,4,1,84,4,4,3,7,4,6
STU003964,2023-01,2023,Физическая культура,easy,1,6,1,89.6,7,10,8,10,10,7
STU003965,2023-01,2023,Математический анализ I,hard,0,2,1,41,7,6,0,0,5,5
STU003965,2023-01,2023,Введение в программирование,normal,0,1,1,38.5,0,0,0,0,2,0
STU003965,2023-01,2023,Инженерная графика,normal,0,1,1,54.4,0,0,0,2,0,0
STU003965,2023-01,2023,История России,easy,1,1,1,32.5,0,0,0,0,4,0
STU003965,2023-01,2023,Иностранный язык,normal,1,4,1,62.6,1,3,5,2,3,4
STU003965,2023-01,2023,Физическая культура,easy,1,6,1,41.5,6,0,5,3,0,4
STU003966,2023-01,2023,Математический анализ I,hard,0,2,1,100,8,10,10,8,10,9
STU003966,2023-01,2023,Введение в программирование,normal,0,1,1,98,6,8,8,9,8,9
STU003966,2023-01,2023,Инженерная графика,normal,0,1,1,96,9,10,9,10,10,9
STU003966,2023-01,2023,История России,easy,1,1,1,100,10,9,10,9,10,10
STU003966,2023-01,2023,Иностранный язык,normal,1,4,1,100,8,10,10,9,10,9
STU003966,2023-01,2023,Физическая культура,easy,1,6,1,100,10,10,10,10,9,9
STU003967,2023-01,2023,Математический анализ I,hard,0,2,1,68.6,6,8,7,5,6,7
STU003967,2023-01,2023,Введение в программирование,normal,0,1,1,73.2,4,9,3,5,6,6
STU003967,2023-01,2023,Инженерная графика,normal,0,1,1,83.9,7,5,5,5,2,6
STU003967,2023-01,2023,История России,easy,1,1,1,88.9,10,10,0,8,10,10
STU003967,2023-01,2023,Иностранный язык,normal,1,4,1,86.6,5,7,4,4,6,0
STU003967,2023-01,2023,Физическая культура,easy,1,6,1,80.5,8,0,9,8,10,10
STU003968,2023-01,2023,Математический анализ I,hard,0,2,1,36.8,0,0,3,4,0,0
STU003968,2023-01,2023,Введение в программирование,normal,0,1,1,46.3,0,7,2,0,0,3
