student_id,group,cohort_entry_year,hidden_label
STU000001,2018-01,2018,normal
STU000002,2018-01,2018,normal
STU000003,2018-01,2018,normal
STU000004,2018-01,2018,normal
STU000005,2018-01,2018,normal
STU000006,2018-01,2018,normal
STU000007,2018-01,2018,normal
STU000008,2018-01,2018,normal
STU000009,2018-01,2018,excellent
STU000010,2018-01,2018,normal
STU000011,2018-01,2018,normal
STU000012,2018-01,2018,normal
STU000013,2018-01,2018,normal
STU000014,2018-01,2018,normal
STU000015,2018-01,2018,normal
STU000016,2018-01,2018,poor
STU000017,2018-01,2018,normal
STU000018,2018-01,2018,normal
STU000019,2018-01,2018,poor
STU000020,2018-01,2018,normal
STU000021,2018-01,2018,normal
STU000022,2018-02,2018,normal
STU000023,2018-02,2018,normal
STU000024,2018-02,2018,normal
STU000025,2018-02,2018,normal
STU000026,2018-02,2018,normal
STU000027,2018-02,2018,normal
STU000028,2018-02,2018,normal
STU000029,2018-02,2018,normal
STU000030,2018-02,2018,normal
STU000031,2018-02,2018,normal
STU000032,2018-02,2018,normal
STU000033,2018-02,2018,poor
STU000034,2018-02,2018,normal
STU000035,2018-02,2018,normal
STU000036,2018-02,2018,normal
STU000037,2018-02,2018,normal
STU000038,2018-02,2018,normal
STU000039,2018-02,2018,normal
STU000040,2018-02,2018,poor
STU000041,2018-02,2018,excellent
STU000042,2018-02,2018,normal
STU000043,2018-02,2018,normal
STU000044,2018-02,2018,normal
STU000045,2018-03,2018,normal
STU000046,2018-03,2018,normal
STU000047,2018-03,2018,excellent
STU000048,2018-03,2018,normal
STU000049,2018-03,2018,normal
STU000050,2018-03,2018,normal
STU000051,2018-03,2018,normal
STU000052,2018-03,2018,normal
STU000053,2018-03,2018,normal
STU000054,2018-03,2018,normal
STU000055,2018-03,2018,normal
STU000056,2018-03,2018,normal
STU000057,2018-03,2018,normal
STU000058,2018-03,2018,normal
STU000059,2018-03,2018,normal
STU000060,2018-03,2018,normal
STU000061,2018-03,2018,normal
STU000062,2018-03,2018,normal
STU000063,2018-03,2018,normal
STU000064,2018-03,2018,normal
STU000065,2018-03,2018,normal
STU000066,2018-03,2018,normal
STU000067,2018-03,2018,normal
STU000068,2018-03,2018,normal
STU000069,2018-03,2018,poor
STU000070,2018-04,2018,poor
STU000071,2018-04,2018,normal
STU000072,2018-04,2018,normal
STU000073,2018-04,2018,normal
STU000074,2018-04,2018,normal
STU000075,2018-04,2018,normal
STU000076,2018-04,2018,normal
STU000077,2018-04,2018,normal
STU000078,2018-04,2018,normal
STU000079,2018-04,2018,poor
STU000080,2018-04,2018,normal
STU000081,2018-04,2018,normal
STU000082,2018-04,2018,normal
STU000083,2018-04,2018,poor
STU000084,2018-04,2018,normal
STU000085,2018-04,2018,normal
STU000086,2018-04,2018,normal
STU000087,2018-04,2018,poor
STU000088,2018-04,2018,poor
STU000089,2018-04,2018,normal
STU000090,2018-04,2018,normal
STU000091,2018-04,2018,normal
STU000092,2018-04,2018,normal
STU000093,2018-05,2018,excellent
STU000094,2018-05,2018,normal
STU000095,2018-05,2018,poor
STU000096,2018-05,2018,normal
STU000097,2018-05,2018,excellent
STU000098,2018-05,2018,normal
STU000099,2018-05,2018,normal
STU000100,2018-05,2018,normal
STU000101,2018-05,2018,normal
STU000102,2018-05,2018,normal
STU000103,2018-05,2018,normal
STU000104,2018-05,2018,normal
STU000105,2018-05,2018,normal
STU000106,2018-05,2018,normal
STU000107,2018-05,2018,normal
STU000108,2018-05,2018,normal
STU000109,2018-05,2018,normal
STU000110,2018-05,2018,normal
STU000111,2018-05,2018,normal
STU000112,2018-05,2018,normal
STU000113,2018-05,2018,normal
STU000114,2018-06,2018,normal
STU000115,2018-06,2018,normal
STU000116,2018-06,2018,normal
STU000117,2018-06,2018,normal
STU000118,2018-06,2018,normal
STU000119,2018-06,2018,poor
STU000120,2018-06,2018,poor
STU000121,2018-06,2018,poor
STU000122,2018-06,2018,normal
STU000123,2018-06,2018,poor
STU000124,2018-06,2018,poor
